 login      , tradeInstruction                       , quantity 
1000000001,buy volume=345 symbol=EURUSD price=1.5,500
1000000002,buy volume=345 symbol=EURUSD price=1.5,100
1000000003,buy volume=345 symbol=EURUSD price=1.5,100
1000000004,buy volume=345 symbol=EURUSD price=1.5,100
1000000005,buy volume=345 symbol=EURUSD price=1.5,100
1000000006,buy volume=345 symbol=EURUSD price=1.5,100
1000000007,buy volume=345 symbol=EURUSD price=1.5,100
1000000008,buy volume=345 symbol=EURUSD price=1.5,100
1000000009,buy volume=345 symbol=EURUSD price=1.5,100
1000000010,buy volume=345 symbol=EURUSD price=1.5,100
1000000011,buy volume=345 symbol=EURUSD price=1.5,100
1000000012,buy volume=345 symbol=EURUSD price=1.5,100
1000000013,buy volume=345 symbol=EURUSD price=1.5,100
1000000014,buy volume=345 symbol=EURUSD price=1.5,100
1000000015,buy volume=345 symbol=EURUSD price=1.5,100
1000000016,buy volume=345 symbol=EURUSD price=1.5,100
1000000017,buy volume=345 symbol=EURUSD price=1.5,100
1000000018,buy volume=345 symbol=EURUSD price=1.5,100
1000000019,buy volume=345 symbol=EURUSD price=1.5,100
1000000020,buy volume=345 symbol=EURUSD price=1.5,100
1000000021,buy volume=345 symbol=EURUSD price=1.5,100
1000000022,buy volume=345 symbol=EURUSD price=1.5,100
1000000023,buy volume=345 symbol=EURUSD price=1.5,100
1000000024,buy volume=345 symbol=EURUSD price=1.5,100
1000000025,buy volume=345 symbol=EURUSD price=1.5,100
1000000026,buy volume=345 symbol=EURUSD price=1.5,100
1000000027,buy volume=345 symbol=EURUSD price=1.5,100
1000000028,buy volume=345 symbol=EURUSD price=1.5,100
1000000029,buy volume=345 symbol=EURUSD price=1.5,100
1000000030,buy volume=345 symbol=EURUSD price=1.5,100
1000000031,buy volume=345 symbol=EURUSD price=1.5,100
1000000032,buy volume=345 symbol=EURUSD price=1.5,100
1000000033,buy volume=345 symbol=EURUSD price=1.5,100
1000000034,buy volume=345 symbol=EURUSD price=1.5,100
1000000035,buy volume=345 symbol=EURUSD price=1.5,100
1000000036,buy volume=345 symbol=EURUSD price=1.5,100
1000000037,buy volume=345 symbol=EURUSD price=1.5,100
1000000038,buy volume=345 symbol=EURUSD price=1.5,100
1000000039,buy volume=345 symbol=EURUSD price=1.5,100
1000000040,buy volume=345 symbol=EURUSD price=1.5,100
1000000041,buy volume=345 symbol=EURUSD price=1.5,100
1000000042,buy volume=345 symbol=EURUSD price=1.5,100
1000000043,buy volume=345 symbol=EURUSD price=1.5,100
1000000044,buy volume=345 symbol=EURUSD price=1.5,100
1000000045,buy volume=345 symbol=EURUSD price=1.5,100
1000000046,buy volume=345 symbol=EURUSD price=1.5,100
1000000047,buy volume=345 symbol=EURUSD price=1.5,100
1000000048,buy volume=345 symbol=EURUSD price=1.5,100
1000000049,buy volume=345 symbol=EURUSD price=1.5,100
1000000050,buy volume=345 symbol=EURUSD price=1.5,100
1000000051,buy volume=345 symbol=EURUSD price=1.5,100
1000000052,buy volume=345 symbol=EURUSD price=1.5,100
1000000053,buy volume=345 symbol=EURUSD price=1.5,100
1000000054,buy volume=345 symbol=EURUSD price=1.5,100
1000000055,buy volume=345 symbol=EURUSD price=1.5,100
1000000056,buy volume=345 symbol=EURUSD price=1.5,100
1000000057,buy volume=345 symbol=EURUSD price=1.5,100
1000000058,buy volume=345 symbol=EURUSD price=1.5,100
1000000059,buy volume=345 symbol=EURUSD price=1.5,100
1000000060,buy volume=345 symbol=EURUSD price=1.5,100
1000000061,buy volume=345 symbol=EURUSD price=1.5,100
1000000062,buy volume=345 symbol=EURUSD price=1.5,100
1000000063,buy volume=345 symbol=EURUSD price=1.5,100
1000000064,buy volume=345 symbol=EURUSD price=1.5,100
1000000065,buy volume=345 symbol=EURUSD price=1.5,100
1000000066,buy volume=345 symbol=EURUSD price=1.5,100
1000000067,buy volume=345 symbol=EURUSD price=1.5,100
1000000068,buy volume=345 symbol=EURUSD price=1.5,100
1000000069,buy volume=345 symbol=EURUSD price=1.5,100
1000000070,buy volume=345 symbol=EURUSD price=1.5,100
1000000071,buy volume=345 symbol=EURUSD price=1.5,100
1000000072,buy volume=345 symbol=EURUSD price=1.5,100
1000000073,buy volume=345 symbol=EURUSD price=1.5,100
1000000074,buy volume=345 symbol=EURUSD price=1.5,100
1000000075,buy volume=345 symbol=EURUSD price=1.5,100
1000000076,buy volume=345 symbol=EURUSD price=1.5,100
1000000077,buy volume=345 symbol=EURUSD price=1.5,100
1000000078,buy volume=345 symbol=EURUSD price=1.5,100
1000000079,buy volume=345 symbol=EURUSD price=1.5,100
1000000080,buy volume=345 symbol=EURUSD price=1.5,100
1000000081,buy volume=345 symbol=EURUSD price=1.5,100
1000000082,buy volume=345 symbol=EURUSD price=1.5,100
1000000083,buy volume=345 symbol=EURUSD price=1.5,100
1000000084,buy volume=345 symbol=EURUSD price=1.5,100
1000000085,buy volume=345 symbol=EURUSD price=1.5,100
1000000086,buy volume=345 symbol=EURUSD price=1.5,100
