Trade ID,Buy/Sell,Currency Pair,Currency,Amount,Rate,Taker,Trade Date GMT,Position ID,Position Type,Comments,Settlement Date
B20141340DZT100,SELL,EUR/USD,EUR,4351000,1.37069962,AUKP2848,14/05/2014 09:23:14,B2014134059VV00; B20141340541X00; B20141340553L00; B2014134059WS00; B2014134054NG00; B2014134059W700; B2014134056DD00; B20141330FJ0W00; B2014133052FZ00; B20141330FJM800; B2014134055J200; B20141330FJSL00; B20141330FGG600; B20141330FH6A00; B2014134059HY00; B20141330FGZD00; B2014134059TZ00; B20141330FGG000; B2014134057GD00; B201413304WX900; B2014134057GA00; B20141330FFU900; B2014133050MS00; B20141330FGPV00; B201413304VDU00; B20141330FEKB00; B2014134059Y400; B20141330FJSJ00; B20141330FGG300; B20141330FEDH00; B20141330FAFB00; B2014134059NN00; B201413304VDX00; B2014133050N600; B2014134059NR00; B2014134053ZP00; B20141330FHTZ00; B20141330FGG900; B20141330FG5P00; B2014133052FW00; B2014133052FQ00; B2014133052FM00; B20141330FJ0T00; B20141330FH6D00; B20141330FFDK00; B20141330FGL000; B201413405A0Q00; B2014133052G800; B201413405A0L00; B2014134054HX00; B20141330FH5B00; B201413405A0N00; B201413304WD100; B20141330FA7G00; B20141330FFUB00; B20141330FH6700; B20141330FJM500; B201413304YTT00; B20141330FANT00; B2014133050MU00,CLOSING,Manual Adjustment,16 May 2014
B201413405A1L00,SELL,EUR/USD,EUR,1000,1.37061,AUKP2848,14/05/2014 08:04:45,B201413304VDU00,CLOSING,,16 May 2014
B201413405A0Q00,BUY,EUR/USD,EUR,4000,1.37066,AUKP2848,14/05/2014 08:04:42,,,,16 May 2014
B201413405A0N00,BUY,EUR/USD,EUR,2000,1.37066,AUKP2848,14/05/2014 08:04:42,,,,16 May 2014
B201413405A0L00,BUY,EUR/USD,EUR,1000,1.37066,AUKP2848,14/05/2014 08:04:42,,,,16 May 2014
B2014134059Y400,BUY,EUR/USD,EUR,100000,1.37093,AUKP2848,14/05/2014 08:04:16,,,,16 May 2014
B2014134059WS00,BUY,EUR/USD,EUR,16000,1.37109,AUKP2848,14/05/2014 08:03:08,,,,16 May 2014
B2014134059W700,BUY,EUR/USD,EUR,16000,1.37102,AUKP2848,14/05/2014 08:03:01,,,,16 May 2014
B2014134059VV00,BUY,EUR/USD,EUR,20000,1.37106,AUKP2848,14/05/2014 08:02:51,,,,16 May 2014
B2014134059TZ00,BUY,EUR/USD,EUR,20000,1.37124,AUKP2848,14/05/2014 08:02:17,,,,16 May 2014
B2014134059NR00,BUY,EUR/USD,EUR,5000,1.37198,AUKP2848,14/05/2014 07:43:28,,,,16 May 2014
B2014134059NN00,BUY,EUR/USD,EUR,2000,1.37199,AUKP2848,14/05/2014 07:43:15,,,,16 May 2014
B2014134059L400,SELL,EUR/USD,EUR,1000,1.37167,AUKP2848,14/05/2014 07:32:35,B201413304VDU00,CLOSING,,16 May 2014
B2014134059KV00,SELL,EUR/USD,EUR,1000,1.3717,AUKP2848,14/05/2014 07:32:31,B201413304VDU00,CLOSING,,16 May 2014
B2014134059KS00,SELL,EUR/USD,EUR,1000,1.37167,AUKP2848,14/05/2014 07:32:30,B201413304VDU00,CLOSING,,16 May 2014
B2014134059HY00,BUY,EUR/USD,EUR,2000,1.372,AUKP2848,14/05/2014 07:31:14,,,,16 May 2014
B2014134058WU00,SELL,EUR/USD,EUR,2000,1.37293,AUKP2848,14/05/2014 07:10:31,B201413304VDU00,CLOSING,,16 May 2014
B2014134058GC00,SELL,EUR/USD,EUR,4000,1.37255,AUKP2848,14/05/2014 07:08:28,B201413304VDU00,CLOSING,,16 May 2014
B20141340581200,SELL,EUR/USD,EUR,20000,1.37198,AUKP2848,14/05/2014 06:34:37,B201413304VDU00,CLOSING,,16 May 2014
B2014134057RK00,SELL,EUR/USD,EUR,20000,1.37197,AUKP2848,14/05/2014 06:11:40,B201413304VDU00,CLOSING,,16 May 2014
B2014134057GD00,BUY,EUR/USD,EUR,2000,1.37155,AUKP2848,14/05/2014 05:58:56,,,,16 May 2014
B2014134057GA00,BUY,EUR/USD,EUR,4000,1.37155,AUKP2848,14/05/2014 05:58:55,,,,16 May 2014
B20141340578200,SELL,EUR/USD,EUR,16000,1.37213,AUKP2848,14/05/2014 05:05:05,B201413304V4200; B201413304VDU00,CLOSING,,16 May 2014
B2014134056QR00,SELL,EUR/USD,EUR,4000,1.37209,AUKP2848,14/05/2014 04:22:28,B201413304V4200,CLOSING,,16 May 2014
B2014134056DD00,BUY,EUR/USD,EUR,20000,1.37176,AUKP2848,14/05/2014 04:00:37,,,,16 May 2014
B2014134056A900,SELL,EUR/USD,EUR,2000,1.37182,AUKP2848,14/05/2014 03:56:06,B201413304V4200,CLOSING,,16 May 2014
B20141340569D00,SELL,EUR/USD,EUR,20000,1.37179,AUKP2848,14/05/2014 03:55:19,B201413304V4200,CLOSING,,16 May 2014
B20141340567K00,SELL,EUR/USD,EUR,85000,1.37176,AUKP2848,14/05/2014 03:47:44,B201413304V4200,CLOSING,,16 May 2014
B20141340566400,SELL,EUR/USD,EUR,43000,1.37169,AUKP2848,14/05/2014 03:43:34,B201413304V4200,CLOSING,,16 May 2014
B20141340566600,SELL,EUR/USD,EUR,23000,1.37169,AUKP2848,14/05/2014 03:43:34,B201413304V4200,CLOSING,,16 May 2014
B2014134055K300,SELL,EUR/USD,EUR,100000,1.37148,AUKP2848,14/05/2014 03:11:05,B201413304V1600; B201413304V4200; B201413304V2300; B201413304V3500,CLOSING,,16 May 2014
B2014134055JR00,SELL,EUR/USD,EUR,20000,1.37147,AUKP2848,14/05/2014 03:10:38,B201413304V1600,CLOSING,,16 May 2014
B2014134055J200,BUY,EUR/USD,EUR,10000,1.37147,AUKP2848,14/05/2014 03:08:44,,,,16 May 2014
B2014134055FK00,SELL,EUR/USD,EUR,2000,1.37142,AUKP2848,14/05/2014 03:03:01,B201413304V1600,CLOSING,,16 May 2014
B2014134055FG00,SELL,EUR/USD,EUR,1000,1.37142,AUKP2848,14/05/2014 03:03:00,B201413304V1600,CLOSING,,16 May 2014
B2014134055FD00,SELL,EUR/USD,EUR,1000,1.37142,AUKP2848,14/05/2014 03:03:00,B201413304V1600,CLOSING,,16 May 2014
