HiSource,LoSource,Section,Diff,Delta,Id,Position,Start,TimeStamp,End
CC,ARS,Clock,48000.000000000,8000.000000000,72148580,-62000.000000000,5/5/2014 8:17:21 AM,5/5/2014 8:17:21 AM,5/5/2014 8:18:23 AM
CC,ARS,Clock,48000.000000000,8000.000000000,72148958,-14000.000000000,5/5/2014 8:17:21 AM,5/5/2014 8:17:21 AM,5/5/2014 8:18:23 AM
CC,ARS,Default,48000.000000000,8000.000000000,72149931,-14000.000000000,5/5/2014 8:17:21 AM,5/5/2014 8:17:21 AM,5/5/2014 8:18:23 AM
CC,ARS,Clock,84000.000000000,6000.000000000,72955132,-93000.000000000,5/5/2014 4:26:25 PM,5/5/2014 4:26:25 PM,5/5/2014 4:27:28 PM
CC,ARS,Clock,84000.000000000,6000.000000000,72955590,-9000.000000000,5/5/2014 4:26:25 PM,5/5/2014 4:26:25 PM,5/5/2014 4:27:28 PM
CC,ARS,Default,84000.000000000,6000.000000000,72956296,-9000.000000000,5/5/2014 4:26:25 PM,5/5/2014 4:26:25 PM,5/5/2014 4:27:28 PM
CC,ARS,Clock,58000.000000000,4000.000000000,72318710,-68000.000000000,5/5/2014 10:06:34 AM,5/5/2014 10:06:34 AM,5/5/2014 10:07:36 AM
CC,ARS,Clock,58000.000000000,4000.000000000,72319115,-10000.000000000,5/5/2014 10:06:34 AM,5/5/2014 10:06:34 AM,5/5/2014 10:07:36 AM
CC,ARS,Default,58000.000000000,4000.000000000,72320145,-10000.000000000,5/5/2014 10:06:34 AM,5/5/2014 10:06:34 AM,5/5/2014 10:07:36 AM
CC,ARS,Clock,50000.000000000,4000.000000000,72081824,-64000.000000000,5/5/2014 7:33:42 AM,5/5/2014 7:33:42 AM,5/5/2014 7:34:44 AM
CC,ARS,Clock,50000.000000000,4000.000000000,72082186,-14000.000000000,5/5/2014 7:33:42 AM,5/5/2014 7:33:42 AM,5/5/2014 7:34:44 AM
CC,ARS,Default,50000.000000000,4000.000000000,72082463,-14000.000000000,5/5/2014 7:33:42 AM,5/5/2014 7:33:42 AM,5/5/2014 7:34:44 AM
CC,ARS,Clock,7000.000000000,4000.000000000,71622811,-7000.000000000,5/5/2014 1:45:34 AM,5/5/2014 1:45:34 AM,5/5/2014 1:46:37 AM
CC,ARS,Clock,7000.000000000,4000.000000000,71623014,0.000000000,5/5/2014 1:45:34 AM,5/5/2014 1:45:34 AM,5/5/2014 1:46:37 AM
CC,ARS,Default,7000.000000000,4000.000000000,71623631,0.000000000,5/5/2014 1:45:34 AM,5/5/2014 1:45:34 AM,5/5/2014 1:46:37 AM
CC,ARS,Clock,82000.000000000,2000.000000000,73034177,-90000.000000000,5/5/2014 5:15:16 PM,5/5/2014 5:15:16 PM,5/5/2014 5:16:18 PM
CC,ARS,Clock,82000.000000000,2000.000000000,73034635,-8000.000000000,5/5/2014 5:15:16 PM,5/5/2014 5:15:16 PM,5/5/2014 5:16:18 PM
CC,ARS,Default,82000.000000000,2000.000000000,73035598,-8000.000000000,5/5/2014 5:15:16 PM,5/5/2014 5:15:16 PM,5/5/2014 5:16:18 PM
CC,ARS,Clock,81000.000000000,2000.000000000,73542447,-91000.000000000,5/5/2014 10:31:15 PM,5/5/2014 10:31:15 PM,5/5/2014 10:32:18 PM
CC,ARS,Clock,81000.000000000,2000.000000000,73542920,-10000.000000000,5/5/2014 10:31:15 PM,5/5/2014 10:31:15 PM,5/5/2014 10:32:18 PM
CC,ARS,Default,81000.000000000,2000.000000000,73543552,-10000.000000000,5/5/2014 10:31:15 PM,5/5/2014 10:31:15 PM,5/5/2014 10:32:18 PM
CC,ARS,Clock,48000.000000000,2000.000000000,72115067,-60000.000000000,5/5/2014 7:55:31 AM,5/5/2014 7:55:31 AM,5/5/2014 7:56:34 AM
CC,ARS,Clock,48000.000000000,2000.000000000,72115433,-12000.000000000,5/5/2014 7:55:31 AM,5/5/2014 7:55:31 AM,5/5/2014 7:56:34 AM
