HiSource,LoSource,Diff,Delta,Start,End
CC,ARS,128000.000000000,1195999.999999998,5/5/2014 2:23:35 PM,5/5/2014 2:24:38 PM
ECN,CC,0.000000001,725999.999999999,5/5/2014 2:24:38 PM,5/5/2014 2:25:41 PM
ECN,CC,0.000000001,572999.999999999,5/5/2014 8:54:28 PM,5/5/2014 8:55:30 PM
CC,ARS,411000.000000000,323999.999999998,5/5/2014 8:53:26 PM,5/5/2014 8:54:28 PM
CC,ARS,143999.999999999,320000.000000000,5/5/2014 8:38:53 PM,5/5/2014 8:39:56 PM
CC,ARS,224000.000000000,252000.000000000,5/5/2014 3:03:10 PM,5/5/2014 3:04:12 PM
ECN,ARS,475000.000000000,199000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:56:06 PM
CC,ARS,474999.999999998,148000.000000002,5/5/2014 2:45:28 PM,5/5/2014 2:46:30 PM
CC,ARS,293999.999999999,130000.000000000,5/5/2014 10:15:55 AM,5/5/2014 10:16:58 AM
CC,ARS,578999.999999998,128000.000000002,5/5/2014 2:04:50 PM,5/5/2014 2:05:53 PM
CC,ARS,305999.999999999,127000.000000000,5/5/2014 5:14:14 PM,5/5/2014 5:15:16 PM
CC,ARS,19000.000000001,80000.000000000,5/5/2014 3:47:13 AM,5/5/2014 3:48:16 AM
CC,ARS,277999.999999998,79000.000000001,5/5/2014 11:01:40 AM,5/5/2014 11:02:42 AM
CC,ARS,678999.999999999,66000.000000000,5/5/2014 12:45:42 PM,5/5/2014 12:46:44 PM
CC,ARS,80999.999999998,60000.000000004,5/5/2014 12:38:00 AM,5/5/2014 12:39:02 AM
ECN,ARS,256000.000000000,55000.000000000,5/5/2014 7:22:16 AM,5/5/2014 7:23:18 AM
CC,ARS,194999.999999998,54000.000000001,5/5/2014 7:33:42 AM,5/5/2014 7:34:44 AM
CC,ARS,321999.999999999,50000.000000000,5/5/2014 8:00:43 AM,5/5/2014 8:01:45 AM
CC,ARS,96000.000000001,50000.000000000,5/5/2014 3:08:46 AM,5/5/2014 3:09:49 AM
ECN,ARS,430000.000000000,45000.000000000,5/5/2014 12:56:06 PM,5/5/2014 12:57:08 PM
