HiSource,LoSource,Section,Diff,Delta,Id,Position,Start,TimeStamp,End
CC,ARS,Default,128000.000000000,1195999.999999998,72752442,-725999.999999999,5/5/2014 2:23:35 PM,5/5/2014 2:23:35 PM,5/5/2014 2:24:38 PM
CC,ARS,Clock,128000.000000000,1195999.999999998,72752521,128000.000000000,5/5/2014 2:23:35 PM,5/5/2014 2:23:35 PM,5/5/2014 2:24:38 PM
CC,ARS,Clock,128000.000000000,1195999.999999998,72752967,-726000.000000000,5/5/2014 2:23:35 PM,5/5/2014 2:23:35 PM,5/5/2014 2:24:38 PM
ECN,CC,Clock,0.000000001,725999.999999999,72754268,128000.000000000,5/5/2014 2:24:38 PM,5/5/2014 2:24:38 PM,5/5/2014 2:25:41 PM
ECN,CC,Clock,0.000000001,725999.999999999,72754714,-726000.000000000,5/5/2014 2:24:38 PM,5/5/2014 2:24:38 PM,5/5/2014 2:25:41 PM
ECN,CC,Default,0.000000001,725999.999999999,72755644,-725999.999999999,5/5/2014 2:24:38 PM,5/5/2014 2:24:38 PM,5/5/2014 2:25:41 PM
ECN,CC,Clock,0.000000001,572999.999999999,73385312,411000.000000000,5/5/2014 8:54:28 PM,5/5/2014 8:54:28 PM,5/5/2014 8:55:30 PM
ECN,CC,Clock,0.000000001,572999.999999999,73385780,-573000.000000000,5/5/2014 8:54:28 PM,5/5/2014 8:54:28 PM,5/5/2014 8:55:30 PM
ECN,CC,Default,0.000000001,572999.999999999,73386422,-572999.999999999,5/5/2014 8:54:28 PM,5/5/2014 8:54:28 PM,5/5/2014 8:55:30 PM
CC,ARS,Default,411000.000000000,323999.999999998,73383586,-572999.999999999,5/5/2014 8:53:26 PM,5/5/2014 8:53:26 PM,5/5/2014 8:54:28 PM
CC,ARS,Clock,411000.000000000,323999.999999998,73383669,411000.000000000,5/5/2014 8:53:26 PM,5/5/2014 8:53:26 PM,5/5/2014 8:54:28 PM
CC,ARS,Clock,411000.000000000,323999.999999998,73384137,-573000.000000000,5/5/2014 8:53:26 PM,5/5/2014 8:53:26 PM,5/5/2014 8:54:28 PM
CC,ARS,Clock,143999.999999999,320000.000000000,73360510,425000.000000000,5/5/2014 8:38:53 PM,5/5/2014 8:38:53 PM,5/5/2014 8:39:56 PM
CC,ARS,Clock,143999.999999999,320000.000000000,73360977,-569000.000000000,5/5/2014 8:38:53 PM,5/5/2014 8:38:53 PM,5/5/2014 8:39:56 PM
CC,ARS,Default,143999.999999999,320000.000000000,73361861,-568999.999999999,5/5/2014 8:38:53 PM,5/5/2014 8:38:53 PM,5/5/2014 8:39:56 PM
CC,ARS,Clock,224000.000000000,252000.000000000,72817571,846000.000000000,5/5/2014 3:03:10 PM,5/5/2014 3:03:10 PM,5/5/2014 3:04:12 PM
CC,ARS,Clock,224000.000000000,252000.000000000,72818021,-622000.000000000,5/5/2014 3:03:10 PM,5/5/2014 3:03:10 PM,5/5/2014 3:04:12 PM
CC,ARS,Default,224000.000000000,252000.000000000,72818943,-622000.000000000,5/5/2014 3:03:10 PM,5/5/2014 3:03:10 PM,5/5/2014 3:04:12 PM
ECN,ARS,Clock,475000.000000000,199000.000000000,72593309,-349000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:03 PM,5/5/2014 12:56:06 PM
ECN,ARS,Clock,475000.000000000,199000.000000000,72593736,-824000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:03 PM,5/5/2014 12:56:06 PM
ECN,ARS,Default,475000.000000000,199000.000000000,72594371,-823999.999999999,5/5/2014 12:55:03 PM,5/5/2014 12:55:03 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594852,-350000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594853,-351000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594854,-352000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594855,-353000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594856,-354000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594857,-355000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594858,-356000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594859,-357000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594860,-358000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594861,-359000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594862,-360000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594864,-361000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594865,-362000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594866,-363000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594867,-364000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594868,-365000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594869,-366000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594870,-367000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594871,-368000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594872,-369000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594873,-370000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594874,-371000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594875,-372000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594876,-373000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594877,-374000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594878,-375000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594879,-376000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594880,-377000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594881,-378000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594882,-379000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594883,-825000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594884,-380000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594887,-381000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594888,-382000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594889,-383000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594890,-384000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594891,-385000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594892,-386000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594893,-387000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594894,-388000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594895,-389000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594896,-390000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594897,-391000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594898,-392000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594899,-393000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594900,-394000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594901,-395000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594902,-396000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594903,-397000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594904,-398000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594905,-399000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594906,-400000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594907,-401000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:16 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594911,-400000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:18 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594912,-399000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:18 PM,5/5/2014 12:56:06 PM
ECN,ARS,Deal,475000.000000000,199000.000000000,72594913,-398000.000000000,5/5/2014 12:55:03 PM,5/5/2014 12:55:18 PM,5/5/2014 12:56:06 PM
