HiSource,LoSource,Section,Diff,Delta,Id,Position,Start,TimeStamp,End
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,Unable to get related data for B EUR/NZD Mt4Pro ending at 1/1/0001 12:00:00 AM,0,0,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
