HiSource,LoSource,Diff,Delta,Start,End
ECN,ARS,432000.000000000,100000.000000000,5/5/2014 7:03:18 PM,5/5/2014 7:04:21 PM
ECN,ARS,478000.000000000,54000.000000000,5/5/2014 7:34:29 PM,5/5/2014 7:35:31 PM
CC,ARS,292000.000000000,50000.000000000,5/5/2014 1:52:20 PM,5/5/2014 1:53:23 PM
CC,ARS,499000.000000000,33000.000000000,5/5/2014 4:39:56 PM,5/5/2014 4:40:58 PM
CC,ARS,518000.000000000,20000.000000000,5/5/2014 10:23:59 PM,5/5/2014 10:25:01 PM
CC,ARS,532000.000000000,13000.000000000,5/5/2014 4:42:01 PM,5/5/2014 4:43:03 PM
CC,ARS,0.000000000,7000.000000000,5/5/2014 4:02:48 AM,5/5/2014 4:03:50 AM
CC,ARS,528000.000000000,4000.000000000,5/5/2014 9:00:42 PM,5/5/2014 9:01:44 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:25:41 PM,5/5/2014 2:26:43 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:26:43 PM,5/5/2014 2:27:46 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:27:46 PM,5/5/2014 2:28:48 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:28:48 PM,5/5/2014 2:29:50 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:29:50 PM,5/5/2014 2:30:53 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:30:53 PM,5/5/2014 2:31:55 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:31:55 PM,5/5/2014 2:32:58 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:32:58 PM,5/5/2014 2:34:00 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:34:00 PM,5/5/2014 2:35:03 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:35:03 PM,5/5/2014 2:36:05 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:36:05 PM,5/5/2014 2:37:08 PM
CC,ARS,532000.000000000,0.000000000,5/5/2014 2:37:08 PM,5/5/2014 2:38:10 PM
