Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
Default,ADS,EURUSD,0,1.3915700,1.3917500,-1300.0000000,100000.00,5/6/2014 8:12:46 AM
Default,ADS,GBPUSD,0,1.6933200,1.6935600,-1150.0000000,100000.00,5/6/2014 8:12:46 AM
Default,ADS,USDCHF,0,0.8749400,0.8751700,100.0000000,100000.00,5/6/2014 8:12:46 AM
Default,ADS,USDHKD,0,7.7518000,7.7530500,200.0000000,100000.00,5/6/2014 8:12:46 AM
Default,ADS,USDJPY,0,102.0090000,102.0290000,350.0000000,100000.00,5/6/2014 8:12:46 AM
Default,ADS,XAGUSD,0,19.5990000,19.6390000,100.0000000,5000.00,5/6/2014 8:12:46 AM
Default,B2B,AUDJPY,1,94.9130000,94.9670000,-0.0300000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,AUDNZD,1,1.0663000,1.0667300,1.7100000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,AUDUSD,1,0.9304800,0.9307500,-35.6600000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,CADJPY,1,93.1700000,93.2210000,-5.0400000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,CHFJPY,1,116.5510000,116.6200000,0.1200000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURAUD,1,1.4950600,1.4958200,3.7500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURCAD,1,1.5230700,1.5238300,0.0300000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURCHF,1,1.2176700,1.2179300,-0.0100000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURJPY,1,141.9620000,141.9900000,-0.4100000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURNZD,1,1.5945200,1.5954000,-2.4900000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,EURUSD,1,1.3915700,1.3917500,-22.1500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,GBPAUD,1,1.8194300,1.8200100,0.1000000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,GBPCHF,1,1.4815100,1.4821500,-0.0100000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,GBPJPY,1,172.7390000,172.7910000,-0.0400000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,GBPUSD,1,1.6933200,1.6935600,-1.3500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,NZDCAD,1,0.9548300,0.9555000,0.0500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,NZDCHF,1,0.7632100,0.7638800,0.0500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,NZDJPY,1,88.9780000,89.0540000,0.1500000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,NZDUSD,1,0.8722400,0.8728300,3.0200000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,USDCAD,1,1.0945100,1.0948100,-0.2000000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,USDCHF,1,0.8749400,0.8751700,-0.1900000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,USDJPY,1,102.0090000,102.0290000,-0.8100000,100000.00,5/6/2014 8:12:46 AM
Default,B2B,XAGUSD,1,19.5990000,19.6390000,20.0000000,5000.00,5/6/2014 8:12:46 AM
Default,C1,AUDCAD,1,1.0183500,1.0191100,0.0800000,100000.00,5/6/2014 8:12:46 AM
Default,C1,AUDCHF,1,0.8139500,0.8147000,0.8900000,100000.00,5/6/2014 8:12:46 AM
Default,C1,AUDNZD,1,1.0663000,1.0667300,5.2000000,100000.00,5/6/2014 8:12:46 AM
Default,C1,AUDNZD,0,1.0663000,1.0667300,9.6000000,100000.00,5/6/2014 8:12:46 AM
Default,C1,AUDUSD,1,0.9304800,0.9307500,11.3800000,100000.00,5/6/2014 8:12:46 AM
